=== 大模型评估成绩单 (Run ID: 20260330_214720) ===
AUC Score : 0.791554
uAUC Score: 0.696782
Accuracy  : 0.352810
Loss      : 0.551866
===========================================
真实标签(Label)	预测概率(SoftLabel)
1	1.905273
1	0.857422
1	1.205078
0	-0.518555
0	0.356445
0	-0.847168
0	0.309082
1	-0.132446
1	-0.419189
1	0.372070
1	0.065491
1	1.169922
1	-0.256836
0	1.467773
0	0.906250
1	1.577148
1	0.771973
1	0.844238
0	0.603027
0	0.087769
1	0.323975
1	0.184692
1	0.224854
1	-0.607422
1	-0.618164
0	-0.557617
1	-0.740234
0	-0.836914
0	-0.890625
0	-0.921387
0	-1.060547
0	-1.521484
0	-1.900391
0	-1.623047
0	-1.606445
0	-1.212891
0	-1.480469
0	-2.076172
1	2.175781
1	1.780273
1	2.070312
0	2.431641
1	2.785156
1	1.684570
1	1.360352
1	1.759766
1	1.440430
1	0.896973
1	1.952148
0	1.670898
1	1.197266
1	0.893555
1	1.376953
1	0.905762
1	1.246094
1	0.953613
1	1.332031
1	0.592773
1	-0.276123
1	0.309082
0	-0.095032
1	-0.881836
0	1.204102
1	0.680176
1	0.249634
1	0.505371
1	0.807129
1	0.802734
1	0.625488
1	0.439209
0	0.254395
1	0.395020
1	0.762695
1	0.256592
1	2.439453
1	-0.252197
1	2.181641
1	1.923828
1	2.119141
1	0.737793
1	2.251953
1	1.767578
1	1.452148
0	1.240234
1	0.781250
0	1.232422
1	0.882812
1	1.132812
1	1.440430
1	0.235596
1	0.889648
1	0.288574
1	1.552734
1	0.779785
1	1.743164
1	-0.395020
1	0.908203
0	0.004513
0	0.331787
0	0.432129
0	-0.759277
1	0.351318
0	0.076355
1	-0.624512
1	-0.005779
0	-0.172729
0	-0.545410
1	-0.577148
0	-0.938965
0	0.178833
1	1.488281
1	-0.152710
1	-0.097595
0	0.077271
0	-0.567871
0	0.185059
0	-0.786621
1	-0.259766
0	-0.906250
0	-0.785645
0	-0.093750
0	-1.192383
0	-0.139282
1	-0.573242
1	0.636230
0	0.646973
1	-0.572754
0	-0.427002
0	0.244629
0	-0.169312
1	0.617188
0	0.470215
1	0.355957
0	-0.504395
0	0.580078
1	-0.603027
1	-0.091370
0	0.033234
0	0.364746
1	0.367188
1	-0.069153
0	1.065430
1	-0.244751
0	0.348389
0	0.224854
0	-0.016464
0	0.282227
0	-0.218018
1	0.080627
1	-0.263916
1	-0.427002
1	0.323486
0	0.124023
1	0.435547
0	0.222900
1	-0.343994
1	0.104614
0	-0.653320
1	-0.754883
0	-0.526367
0	-0.118347
0	-1.148438
0	-0.880371
0	-0.650879
0	0.393066
0	-0.032593
0	-0.189941
0	-0.455322
1	-0.835938
0	0.309082
1	-0.315918
1	-0.604980
1	-1.189453
1	0.254150
1	0.528809
1	-0.752930
1	-0.261475
1	-0.459229
1	1.313477
0	1.687500
1	1.317383
0	0.595703
0	0.115662
0	0.176880
1	-0.186646
1	0.031891
1	0.282959
1	0.441406
1	0.033569
1	-0.242432
1	0.009842
1	-1.225586
1	1.353516
1	1.152344
1	0.441162
1	0.740234
1	-0.077576
1	-0.480713
1	-1.242188
1	-1.382812
0	-1.582031
1	-0.981445
0	-0.822754
0	-2.335938
0	-0.159790
1	-0.006374
1	-0.047211
1	1.378906
1	0.664062
1	1.238281
1	0.130615
1	0.233765
1	0.270020
1	-1.137695
0	1.836914
1	1.547852
0	1.675781
0	1.048828
0	0.766602
1	0.845703
1	0.864258
1	0.599609
0	0.802246
0	0.800293
1	0.369873
1	1.099609
1	1.362305
1	1.020508
1	1.302734
1	0.577637
1	1.127930
1	1.073242
1	0.858887
1	0.691895
1	0.996582
0	1.335938
1	0.596191
0	0.214844
1	0.383545
1	0.903809
0	0.078064
1	-0.391846
1	0.573730
0	0.699219
0	-0.376221
1	0.339600
1	1.797852
0	1.064453
1	0.162598
0	1.085938
1	1.180664
1	1.552734
1	0.222412
0	-0.049683
0	0.354248
0	-0.820801
1	1.249023
0	-1.021484
0	-0.659180
1	-0.728516
1	-1.171875
0	-0.498047
0	-0.469482
1	-2.068359
0	0.408691
0	0.077087
1	0.475098
1	0.777832
1	1.219727
0	-0.371338
0	-1.786133
1	-0.516113
1	-0.222534
0	-0.263672
0	-0.881836
0	-1.138672
0	-0.558105
0	-0.622559
1	1.861328
1	2.246094
1	1.229492
1	2.162109
0	2.185547
0	0.492188
1	2.484375
1	2.449219
1	1.311523
0	-0.871582
1	1.760742
1	2.232422
0	1.720703
0	2.187500
0	0.793457
1	1.645508
1	1.764648
0	2.210938
1	2.000000
0	1.085938
1	1.951172
1	-0.045380
1	0.659668
0	1.371094
0	0.957031
0	1.064453
0	0.742676
1	0.871582
1	-0.291992
1	1.010742
1	0.536621
1	1.184570
0	0.789062
0	0.107971
1	0.979492
0	1.362305
1	1.318359
0	0.742188
1	0.280518
0	0.785645
1	0.955078
1	0.934570
0	0.006222
0	0.333496
0	0.474121
1	1.755859
1	0.560059
0	-0.487305
1	1.230469
1	0.624512
0	1.211914
1	1.223633
0	1.267578
0	0.965820
1	-0.174927
1	0.580078
1	1.001953
0	1.270508
0	-1.130859
1	0.856934
0	-0.091431
0	0.540527
1	0.961426
1	1.109375
0	-0.136597
1	0.915039
1	0.827148
1	0.575684
0	1.103516
0	-0.014191
1	0.288574
1	0.477051
1	0.812500
1	-0.191162
0	-0.784668
1	0.165527
1	-0.044800
0	0.005749
1	-0.830078
1	-0.327637
0	1.265625
0	0.825195
0	0.604980
1	-0.912598
1	0.275879
1	0.318848
1	-0.230347
1	-0.402832
0	1.187500
0	-0.619141
1	-0.145752
0	0.952148
0	0.118347
0	0.571289
0	0.710938
1	1.858398
1	0.675781
0	0.476074
1	-1.124023
0	-0.724121
0	0.129517
0	0.540527
0	0.861816
0	0.322754
1	1.188477
0	-0.166748
0	0.130127
0	0.345947
1	0.295166
0	-0.970703
0	-1.077148
0	-0.432129
0	-1.478516
0	0.502441
1	0.594238
0	-0.026550
0	0.288818
0	-0.468018
1	-0.723633
1	0.648438
0	0.420166
1	0.186035
1	0.825684
0	-0.356201
0	0.416992
0	-1.603516
1	1.047852
0	1.091797
1	-0.704102
0	1.210938
1	0.858398
0	0.519043
0	0.837891
0	-0.105347
0	0.825684
0	0.062927
0	0.295166
0	0.211670
0	0.865723
1	-0.035553
0	-0.803711
1	0.154175
0	-0.271973
0	-0.418945
0	-0.033234
0	-1.125000
1	-0.155884
1	-0.462402
0	0.200684
1	-0.245117
0	-1.081055
0	-1.376953
0	-1.355469
0	-0.330566
0	-1.005859
0	-1.495117
1	-0.375000
0	-0.220825
1	-1.237305
1	-0.800293
0	-0.161743
1	-0.435059
1	-0.356689
0	-2.228516
0	-0.937500
1	-0.209106
0	-0.672363
0	-0.814453
1	-0.020660
0	-1.922852
1	-1.257812
